
# We ignore any line that starts with "#" or that does not comply with the rules

# Enemy Index
# Nomal Creep "NC"
# Fast Creep "FC"
# Straight Creep "SC"
# Shield Creep "SHC"
# Force Field Creep "FFC"
# Multi Creep "MC"
# Elemental Abrosbent Creep "EAC"
# Creep Boss "CB"

# Rules
# Line format Enemy type "," consecuitive waves
# Example:
# NC,2 // 2 Normal Creep consecuitive waves
# FC,3 // 3 Fast Creep wave
# CB,1 // 1 Creep Boss wave

NC,4
SHC,1
FC,4
NC,1
FC,1
SC,1
NC,2
SC,1
MC,1
NC,1
SC,1
EAC,1
FFC,1
NC,1
FC,1
SC,1
SHC,1
FFC,1
EAC,1
NC,1
FC,1
SC,1
SHC,1
FFC,1
EAC,1
NC,1
FC,1
SC,1
SHC,1
FFC,1
EAC,1
NC,3
CB,1
